Step,Acc,Loss
757,0.906,0.42
758,0.797,0.48
759,0.797,0.48
760,0.891,0.36
761,0.891,0.36
762,0.844,0.41
763,0.844,0.41
764,0.969,0.24
765,0.969,0.24
766,0.922,0.38
767,0.922,0.38
768,0.922,0.34
769,0.922,0.34
770,0.859,0.51
771,0.859,0.51
772,0.844,0.46
773,0.844,0.46
774,0.891,0.39
775,0.891,0.39
776,0.875,0.34
777,0.875,0.34
778,0.906,0.47
779,0.906,0.47
780,0.891,0.55
781,0.891,0.55
782,0.906,0.31
783,0.906,0.31
784,0.828,0.64
785,0.828,0.64
786,0.922,0.34
787,0.922,0.34
788,0.953,0.25
789,0.953,0.25
790,0.891,0.34
791,0.891,0.34
792,0.891,0.39
793,0.891,0.39
794,0.875,0.37
795,0.875,0.37
796,0.859,0.38
797,0.859,0.38
798,0.922,0.23
799,0.922,0.23
800,0.906,0.3
801,0.906,0.3
802,0.969,0.22
803,0.969,0.22
804,0.844,0.42
805,0.844,0.42
806,0.859,0.38
807,0.859,0.38
808,0.844,0.46
809,0.844,0.46
810,0.922,0.26
811,0.922,0.26
812,0.859,0.4
813,0.859,0.4
814,0.828,0.46
815,0.828,0.46
816,0.906,0.27
817,0.906,0.27
818,0.906,0.31
819,0.906,0.31
820,0.875,0.41
821,0.875,0.41
822,0.859,0.42
823,0.859,0.42
824,0.844,0.52
825,0.844,0.52
826,0.906,0.34
827,0.906,0.34
828,0.906,0.28
829,0.906,0.28
830,0.828,0.43
831,0.828,0.43
832,0.875,0.49
833,0.875,0.49
834,0.938,0.31
835,0.938,0.31
836,0.891,0.32
837,0.891,0.32
838,0.828,0.43
839,0.828,0.43
840,0.781,0.67
841,0.781,0.67
842,0.797,0.65
843,0.797,0.65
844,0.781,0.65
845,0.781,0.65
846,0.828,0.48
847,0.828,0.48
848,0.875,0.52
849,0.875,0.52
850,0.766,0.49
851,0.766,0.49
852,0.844,0.53
853,0.844,0.53
854,0.875,0.36
855,0.875,0.36
856,0.828,0.47
857,0.828,0.47
858,0.844,0.56
859,0.844,0.56
860,0.922,0.32
861,0.922,0.32
862,0.859,0.39
863,0.859,0.39
864,0.953,0.33
865,0.953,0.33
866,0.844,0.49
867,0.844,0.49
868,0.875,0.36
869,0.875,0.36
