Step,Acc,Loss
583,0.914,0.28
584,0.945,0.24
585,0.945,0.24
586,0.914,0.3
587,0.914,0.3
588,0.922,0.28
589,0.922,0.28
590,0.891,0.35
591,0.891,0.35
592,0.898,0.35
593,0.898,0.35
594,0.938,0.32
595,0.938,0.32
596,0.906,0.38
597,0.906,0.38
598,0.898,0.43
599,0.898,0.43
600,0.906,0.35
601,0.906,0.35
602,0.891,0.32
603,0.891,0.32
604,0.93,0.25
605,0.93,0.25
606,0.906,0.33
607,0.906,0.33
608,0.906,0.33
609,0.906,0.33
610,0.922,0.34
611,0.922,0.34
612,0.914,0.33
613,0.914,0.33
614,0.828,0.57
615,0.828,0.57
616,0.891,0.3
617,0.891,0.3
618,0.867,0.37
619,0.867,0.37
620,0.906,0.31
621,0.906,0.31
622,0.859,0.42
623,0.859,0.42
624,0.883,0.33
625,0.883,0.33
626,0.922,0.34
627,0.922,0.34
628,0.906,0.31
629,0.906,0.31
630,0.875,0.37
631,0.875,0.37
632,0.891,0.35
633,0.891,0.35
634,0.875,0.35
635,0.875,0.35
636,0.922,0.32
637,0.922,0.32
638,0.93,0.29
639,0.93,0.29
640,0.883,0.35
641,0.883,0.35
642,0.844,0.5
643,0.844,0.5
644,0.875,0.38
645,0.875,0.38
646,0.883,0.34
647,0.883,0.34
648,0.867,0.39
649,0.867,0.39
650,0.93,0.28
651,0.93,0.28
652,0.914,0.35
653,0.914,0.35
654,0.859,0.49
655,0.859,0.49
656,0.922,0.29
657,0.922,0.29
658,0.867,0.38
659,0.867,0.38
660,0.859,0.44
661,0.859,0.44
662,0.938,0.27
663,0.938,0.27
664,0.945,0.2
665,0.945,0.2
666,0.898,0.42
667,0.898,0.42
668,0.867,0.42
669,0.867,0.42
670,0.898,0.33
671,0.898,0.33
672,0.891,0.37
673,0.891,0.37
674,0.906,0.33
675,0.906,0.33
676,0.906,0.35
677,0.906,0.35
678,0.914,0.3
679,0.914,0.3
680,0.922,0.27
681,0.922,0.27
682,0.898,0.32
683,0.898,0.32
684,0.898,0.33
685,0.898,0.33
686,0.867,0.42
687,0.867,0.42
688,0.906,0.29
689,0.906,0.29
690,0.914,0.31
691,0.914,0.31
692,0.875,0.32
693,0.875,0.32
694,0.922,0.26
695,0.922,0.26
696,0.898,0.39
697,0.898,0.39
698,0.883,0.34
699,0.883,0.34
700,0.867,0.36
701,0.867,0.36
702,0.859,0.42
703,0.859,0.42
704,0.883,0.38
705,0.883,0.38
706,0.883,0.36
707,0.883,0.36
708,0.906,0.33
709,0.906,0.33
710,0.875,0.41
711,0.875,0.41
712,0.93,0.25
713,0.93,0.25
714,0.898,0.27
715,0.898,0.27
716,0.93,0.3
717,0.93,0.3
718,0.914,0.31
719,0.914,0.31
720,0.891,0.32
721,0.891,0.32
722,0.922,0.25
723,0.922,0.25
724,0.883,0.32
725,0.883,0.32
726,0.93,0.25
727,0.93,0.25
728,0.898,0.29
729,0.898,0.29
730,0.938,0.25
731,0.938,0.25
732,0.938,0.24
733,0.938,0.24
734,0.906,0.36
735,0.906,0.36
736,0.859,0.42
737,0.859,0.42
738,0.891,0.34
739,0.891,0.34
740,0.883,0.35
741,0.883,0.35
742,0.945,0.29
743,0.945,0.29
744,0.875,0.37
745,0.875,0.37
746,0.945,0.25
747,0.945,0.25
748,0.852,0.52
749,0.852,0.52
750,0.891,0.34
751,0.891,0.34
752,0.914,0.35
753,0.914,0.35
754,0.883,0.36
755,0.883,0.36
756,0.914,0.34
757,0.914,0.34
758,0.883,0.35
759,0.883,0.35
760,0.898,0.37
761,0.898,0.37
762,0.922,0.39
763,0.922,0.39
764,0.883,0.38
765,0.883,0.38
766,0.883,0.41
767,0.883,0.41
768,0.883,0.4
769,0.883,0.4
770,0.797,0.6
771,0.797,0.6
772,0.898,0.34
773,0.898,0.34
774,0.797,0.52
775,0.797,0.52
776,0.906,0.28
777,0.906,0.28
778,0.93,0.29
779,0.93,0.29
780,0.922,0.24
781,0.922,0.24
782,0.875,0.3
783,0.875,0.3
784,0.891,0.37
785,0.891,0.37
786,0.891,0.34
787,0.891,0.34
788,0.867,0.32
789,0.867,0.32
790,0.875,0.32
791,0.875,0.32
792,0.891,0.27
793,0.891,0.27
794,0.883,0.38
795,0.883,0.38
796,0.906,0.31
797,0.906,0.31
798,0.891,0.26
799,0.891,0.26
800,0.859,0.35
801,0.859,0.35
802,0.914,0.27
803,0.914,0.27
804,0.852,0.5
805,0.852,0.5
806,0.859,0.39
807,0.859,0.39
808,0.883,0.33
809,0.883,0.33
810,0.898,0.34
811,0.898,0.34
812,0.898,0.33
813,0.898,0.33
814,0.883,0.31
