step,accuracy,loss
899,0.909,0.460
900,0.906,0.550
901,0.907,0.317
902,0.906,0.515
903,0.906,0.291
904,0.910,0.247
905,0.912,0.307
906,0.911,0.308
907,0.912,0.489
908,0.910,0.266
909,0.906,0.454
910,0.904,0.299
911,0.911,0.346
912,0.911,0.686
913,0.909,0.376
914,0.910,0.648
915,0.911,0.347
916,0.907,0.251
917,0.911,0.388
918,0.908,0.584
919,0.908,0.366
920,0.908,0.273
921,0.909,0.345
922,0.909,0.422
923,0.911,0.448
924,0.889,0.442
925,0.899,0.464
926,0.904,0.261
927,0.908,0.352
928,0.910,0.432
929,0.907,0.301
930,0.910,0.317
931,0.909,0.267
932,0.906,0.193
933,0.908,0.371
934,0.908,0.401
935,0.908,0.319
936,0.910,0.317
937,0.913,0.185
938,0.907,0.252
939,0.909,0.114
940,0.911,0.156
941,0.910,0.265
942,0.908,0.175
943,0.910,0.182
944,0.910,0.177
945,0.905,0.453
946,0.900,0.482
947,0.910,0.437
948,0.910,0.284
949,0.910,0.538
950,0.912,0.292
951,0.911,0.264
952,0.909,0.282
953,0.911,0.252
954,0.910,0.232
955,0.911,0.439
956,0.908,0.174
957,0.903,0.342
958,0.912,0.190
959,0.911,0.200
960,0.912,0.297
961,0.908,0.376
962,0.909,0.305
963,0.910,0.243
964,0.910,0.221
965,0.906,0.417
966,0.903,0.167
967,0.906,0.108
968,0.906,0.353
969,0.905,0.317
970,0.903,0.209
971,0.903,0.406
972,0.905,0.429
973,0.904,0.423
974,0.902,0.840
975,0.907,0.818
976,0.901,0.426
977,0.908,0.298
978,0.909,0.351
979,0.912,0.332
980,0.911,0.396
981,0.910,0.296
982,0.907,0.159
983,0.910,0.366
984,0.903,0.368
985,0.908,0.197
986,0.908,0.519
987,0.907,0.411
988,0.912,0.265
989,0.909,0.117
990,0.910,0.180
991,0.913,0.211
992,0.913,0.308
993,0.910,0.262
994,0.906,0.633
995,0.895,0.640
996,0.908,0.254
997,0.908,0.377
998,0.911,0.304
999,0.905,0.262
1000,0.908,0.381
